stay_date,stay_year,stay_month_num,room_id,room_name,capacity,final_occupied_rooms,final_revenue,rooms_on_books,revenue_on_books,horizon_days,remaining_pickup_rooms,otb_saturation_pct,final_occupancy_pct
2024-05-31,2024,5,2761,Camera  Standard,14,4,529.0,0.0,0.0,180,4.0,0.0,28.571428571428573
2024-05-31,2024,5,2762,Camera Superior,8,1,345.0,0.0,0.0,180,1.0,0.0,12.5
2024-05-31,2024,5,2767,Suite Familiare Vista Piscina,1,1,200.0,0.0,0.0,180,1.0,0.0,100.0
2024-06-01,2024,6,2761,Camera  Standard,14,12,1080.33,0.0,0.0,180,12.0,0.0,85.71428571428571
2024-06-01,2024,6,2762,Camera Superior,8,2,375.21,0.0,0.0,180,2.0,0.0,25.0
2024-06-01,2024,6,2763,Camera Deluxe,5,1,170.0,1.0,170.0,180,0.0,20.0,20.0
2024-06-01,2024,6,2764,Appartamento Area Giardino,28,3,291.22,0.0,0.0,180,3.0,0.0,10.714285714285714
2024-06-01,2024,6,2765,Appartamento Area Piscina,18,1,270.0,0.0,0.0,180,1.0,0.0,5.555555555555555
2024-06-01,2024,6,2767,Suite Familiare Vista Piscina,1,1,200.0,0.0,0.0,180,1.0,0.0,100.0
2024-06-02,2024,6,2761,Camera  Standard,14,12,1152.94,0.0,0.0,180,12.0,0.0,85.71428571428571
2024-06-02,2024,6,2762,Camera Superior,8,3,235.62,0.0,0.0,180,3.0,0.0,37.5
2024-06-02,2024,6,2763,Camera Deluxe,5,1,170.0,1.0,170.0,180,0.0,20.0,20.0
2024-06-02,2024,6,2764,Appartamento Area Giardino,28,5,471.02,0.0,0.0,180,5.0,0.0,17.857142857142858
2024-06-02,2024,6,2765,Appartamento Area Piscina,18,1,170.0,0.0,0.0,180,1.0,0.0,5.555555555555555
2024-06-03,2024,6,2761,Camera  Standard,14,12,1039.94,0.0,0.0,180,12.0,0.0,85.71428571428571
2024-06-03,2024,6,2762,Camera Superior,8,3,313.62,0.0,0.0,180,3.0,0.0,37.5
2024-06-03,2024,6,2763,Camera Deluxe,5,1,170.0,1.0,170.0,180,0.0,20.0,20.0
2024-06-03,2024,6,2764,Appartamento Area Giardino,28,5,566.42,0.0,0.0,180,5.0,0.0,17.857142857142858
2024-06-03,2024,6,2765,Appartamento Area Piscina,18,1,170.0,0.0,0.0,180,1.0,0.0,5.555555555555555
2024-06-04,2024,6,2761,Camera  Standard,14,12,1039.94,0.0,0.0,180,12.0,0.0,85.71428571428571
2024-06-04,2024,6,2762,Camera Superior,8,4,470.62,0.0,0.0,180,4.0,0.0,50.0
2024-06-04,2024,6,2763,Camera Deluxe,5,1,170.0,1.0,170.0,180,0.0,20.0,20.0
2024-06-04,2024,6,2764,Appartamento Area Giardino,28,5,566.42,0.0,0.0,180,5.0,0.0,17.857142857142858
2024-06-04,2024,6,2765,Appartamento Area Piscina,18,1,170.0,0.0,0.0,180,1.0,0.0,5.555555555555555
2024-06-05,2024,6,2761,Camera  Standard,14,12,1039.94,0.0,0.0,180,12.0,0.0,85.71428571428571
2024-06-05,2024,6,2762,Camera Superior,8,3,313.62,0.0,0.0,180,3.0,0.0,37.5
2024-06-05,2024,6,2763,Camera Deluxe,5,2,170.0,1.0,170.0,180,1.0,20.0,40.0
2024-06-05,2024,6,2764,Appartamento Area Giardino,28,5,566.42,0.0,0.0,180,5.0,0.0,17.857142857142858
2024-06-05,2024,6,2765,Appartamento Area Piscina,18,1,170.0,0.0,0.0,180,1.0,0.0,5.555555555555555
2024-06-06,2024,6,2761,Camera  Standard,14,12,1039.94,0.0,0.0,180,12.0,0.0,85.71428571428571
2024-06-06,2024,6,2762,Camera Superior,8,3,313.62,0.0,0.0,180,3.0,0.0,37.5
2024-06-06,2024,6,2763,Camera Deluxe,5,2,170.0,1.0,170.0,180,1.0,20.0,40.0
2024-06-06,2024,6,2764,Appartamento Area Giardino,28,8,1156.42,0.0,0.0,180,8.0,0.0,28.571428571428573
2024-06-06,2024,6,2765,Appartamento Area Piscina,18,1,170.0,0.0,0.0,180,1.0,0.0,5.555555555555555
2024-06-07,2024,6,2761,Camera  Standard,14,15,1323.44,0.0,0.0,180,15.0,0.0,107.14285714285714
2024-06-07,2024,6,2762,Camera Superior,8,8,713.62,0.0,0.0,180,8.0,0.0,100.0
2024-06-07,2024,6,2763,Camera Deluxe,5,2,170.0,1.0,170.0,180,1.0,20.0,40.0
2024-06-07,2024,6,2764,Appartamento Area Giardino,28,8,1156.42,0.0,0.0,180,8.0,0.0,28.571428571428573
2024-06-07,2024,6,2765,Appartamento Area Piscina,18,21,2390.0,0.0,0.0,180,21.0,0.0,116.66666666666667
2024-06-07,2024,6,2767,Suite Familiare Vista Piscina,1,1,0.0,0.0,0.0,180,1.0,0.0,100.0
2024-06-08,2024,6,2761,Camera  Standard,14,19,1728.03,0.0,0.0,180,19.0,0.0,135.71428571428572
2024-06-08,2024,6,2762,Camera Superior,8,9,883.6199999999999,0.0,0.0,180,9.0,0.0,112.5
2024-06-08,2024,6,2763,Camera Deluxe,5,1,156.07,0.0,0.0,180,1.0,0.0,20.0
2024-06-08,2024,6,2764,Appartamento Area Giardino,28,15,1689.94,0.0,0.0,180,15.0,0.0,53.57142857142857
2024-06-08,2024,6,2765,Appartamento Area Piscina,18,30,3421.5699999999997,0.0,0.0,180,30.0,0.0,166.66666666666666
2024-06-08,2024,6,2767,Suite Familiare Vista Piscina,1,1,0.0,0.0,0.0,180,1.0,0.0,100.0
2024-06-08,2024,6,5375,Villino 2Ten,1,2,255.71,0.0,0.0,180,2.0,0.0,200.0
2024-06-09,2024,6,2761,Camera  Standard,14,21,2210.59,0.0,0.0,180,21.0,0.0,150.0
2024-06-09,2024,6,2762,Camera Superior,8,3,411.42,0.0,0.0,180,3.0,0.0,37.5
2024-06-09,2024,6,2763,Camera Deluxe,5,5,525.71,0.0,0.0,180,5.0,0.0,100.0
2024-06-09,2024,6,2764,Appartamento Area Giardino,28,27,3287.18,0.0,0.0,180,27.0,0.0,96.42857142857143
2024-06-09,2024,6,2765,Appartamento Area Piscina,18,14,2130.66,0.0,0.0,180,14.0,0.0,77.77777777777777
2024-06-09,2024,6,5375,Villino 2Ten,1,2,255.71,0.0,0.0,180,2.0,0.0,200.0
2024-06-10,2024,6,2761,Camera  Standard,14,21,2210.59,0.0,0.0,180,21.0,0.0,150.0
2024-06-10,2024,6,2762,Camera Superior,8,3,411.42,0.0,0.0,180,3.0,0.0,37.5
2024-06-10,2024,6,2763,Camera Deluxe,5,5,525.71,0.0,0.0,180,5.0,0.0,100.0
2024-06-10,2024,6,2764,Appartamento Area Giardino,28,23,2483.68,0.0,0.0,180,23.0,0.0,82.14285714285714
2024-06-10,2024,6,2765,Appartamento Area Piscina,18,15,2447.83,0.0,0.0,180,15.0,0.0,83.33333333333333
2024-06-10,2024,6,5375,Villino 2Ten,1,1,155.71,0.0,0.0,180,1.0,0.0,100.0
2024-06-11,2024,6,2761,Camera  Standard,14,21,2062.09,0.0,0.0,180,21.0,0.0,150.0
2024-06-11,2024,6,2762,Camera Superior,8,3,411.42,0.0,0.0,180,3.0,0.0,37.5
2024-06-11,2024,6,2763,Camera Deluxe,5,5,525.71,0.0,0.0,180,5.0,0.0,100.0
2024-06-11,2024,6,2764,Appartamento Area Giardino,28,24,2576.5099999999998,0.0,0.0,180,24.0,0.0,85.71428571428571
2024-06-11,2024,6,2765,Appartamento Area Piscina,18,15,2461.83,0.0,0.0,180,15.0,0.0,83.33333333333333
2024-06-11,2024,6,5375,Villino 2Ten,1,2,353.71000000000004,0.0,0.0,180,2.0,0.0,200.0
2024-06-12,2024,6,2761,Camera  Standard,14,21,2062.09,0.0,0.0,180,21.0,0.0,150.0
2024-06-12,2024,6,2762,Camera Superior,8,4,411.42,0.0,0.0,180,4.0,0.0,50.0
2024-06-12,2024,6,2763,Camera Deluxe,5,5,525.71,0.0,0.0,180,5.0,0.0,100.0
2024-06-12,2024,6,2764,Appartamento Area Giardino,28,24,2671.0099999999998,0.0,0.0,180,24.0,0.0,85.71428571428571
2024-06-12,2024,6,2765,Appartamento Area Piscina,18,15,2461.83,0.0,0.0,180,15.0,0.0,83.33333333333333
2024-06-12,2024,6,5375,Villino 2Ten,1,2,353.71000000000004,0.0,0.0,180,2.0,0.0,200.0
2024-06-13,2024,6,2761,Camera  Standard,14,21,2062.09,0.0,0.0,180,21.0,0.0,150.0
2024-06-13,2024,6,2762,Camera Superior,8,4,411.42,0.0,0.0,180,4.0,0.0,50.0
2024-06-13,2024,6,2763,Camera Deluxe,5,4,525.71,0.0,0.0,180,4.0,0.0,80.0
2024-06-13,2024,6,2764,Appartamento Area Giardino,28,26,2587.5099999999998,0.0,0.0,180,26.0,0.0,92.85714285714286
2024-06-13,2024,6,2765,Appartamento Area Piscina,18,14,2145.16,0.0,0.0,180,14.0,0.0,77.77777777777777
