stay_year,stay_month,season_band,room_id,room_name,arrangement_code,arrangement_name,confirmed_bookings,revenue,avg_adr,avg_los,avg_booking_window,comparability_group,reliability
2024,2024-05,LOW,2761,Camera  Standard,BB,Bed & Breakfast,1,420.0,210.0,2.0,123.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,2761,Camera  Standard,HB,Mezza Pensione,3,574.0,95.67,2.0,29.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,2762,Camera Superior,FB,Pensione Completa,1,690.0,345.0,2.0,11.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,2767,Suite Familiare Vista Piscina,FB,Pensione Completa,1,400.0,200.0,2.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,BB,Bed & Breakfast,1,111.46,111.46,1.0,42.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,FB,Pensione Completa,46,29043.5,93.97,6.11,76.46,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-06,SHOULDER,2761,Camera  Standard,HB,Mezza Pensione,32,24179.2,112.38,6.84,72.44,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-06,SHOULDER,2761,Camera  Standard,NB,No Board,1,0.0,0.0,1.0,36.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,2762,Camera Superior,FB,Pensione Completa,20,15678.4,141.33,5.05,50.45,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,2762,Camera Superior,HB,Mezza Pensione,13,12022.0,136.09,6.77,66.38,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,2762,Camera Superior,SP,Solo Pernottamento,1,0.0,0.0,4.0,2.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,2763,Camera Deluxe,FB,Pensione Completa,19,23991.0,178.72,6.53,103.89,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,2763,Camera Deluxe,HB,Mezza Pensione,7,8033.5,166.78,5.86,66.86,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,2764,Appartamento Area Giardino,BB,Bed & Breakfast,2,1326.0,94.72,7.0,76.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
